pool_id,location,sample_type,sampling_date,order,family,genus,species,description,location_pool_id
2,North Campus Open Space,FB250,7-Feb-19,Ostracod,NA,NA,NA,"rectangular, white",North Campus Open Space - 2
2,North Campus Open Space,FB250,7-Feb-19,Ostracod,Cyprididae,NA,NA,"bean, white",North Campus Open Space - 2
2,North Campus Open Space,FB250,7-Feb-19,Ostracod,NA,NA,NA,"bean, green",North Campus Open Space - 2
2,North Campus Open Space,FB250,7-Feb-19,Ostracod,NA,NA,NA,"bean, white",North Campus Open Space - 2
2,North Campus Open Space,FB250,7-Feb-19,Ostracod,Cyprididae,Cyprettinae?,NA,green,North Campus Open Space - 2
2,North Campus Open Space,FB250,7-Feb-19,Ostracod,NA,NA,NA,"long, white",North Campus Open Space - 2
6,South Parcel,FB250,8-Feb-19,Ostracod,Cyprididae,Cyprettinae?,NA,green,South Parcel - 6
6,South Parcel,FB250,8-Feb-19,Ostracod,Cyprididae,NA,NA,"bean, white",South Parcel - 6
6,South Parcel,FB250,8-Feb-19,Ostracod,Cyprididae,NA,NA,"long, purple",South Parcel - 6
6,South Parcel,FB250,8-Feb-19,Ostracod,Cyprididae,NA,NA,"bean, green",South Parcel - 6
6,South Parcel,FB250,8-Feb-19,Ostracod,NA,NA,NA,"triangle, green",South Parcel - 6
6,South Parcel,FB250,8-Feb-19,Ostracod,NA,NA,NA,"bean, clear",South Parcel - 6
7,Del Sol/Camino Corto,FB250,11-Feb-19,Ostracod,Cyprididae,Heterocypridinae?,NA,purplish,Del Sol/Camino Corto - 7
Santa Rosa,Manzanita Village,FB250,11-Feb-19,Ostracod,Cyprididae,NA,NA,"bean, green",Manzanita Village - Santa Rosa
Santa Rosa,Manzanita Village,FB250,11-Feb-19,Ostracod,Cyprididae,NA,NA,"bean, green",Manzanita Village - Santa Rosa
Santa Rosa,Manzanita Village,FB250,11-Feb-19,Ostracod,Cyprididae,NA,NA,"bean, white",Manzanita Village - Santa Rosa
Santa Rosa,Manzanita Village,FB250,11-Feb-19,Ostracod,Cyprididae,NA,NA,"triangle, white",Manzanita Village - Santa Rosa
Santa Rosa,Manzanita Village,FB250,11-Feb-19,Ostracod,NA,NA,NA,"bean, green",Manzanita Village - Santa Rosa
Santa Rosa,Manzanita Village,FB250,11-Feb-19,Ostracod,NA,NA,NA,"bean, green",Manzanita Village - Santa Rosa
Santa Catalina,Manzanita Village,FB250,11-Feb-19,Ostracod,Cyprididae,NA,NA,"bean, green",Manzanita Village - Santa Catalina
Santa Catalina,Manzanita Village,FB250,11-Feb-19,Ostracod,Cyprididae,NA,NA,"triangle, green",Manzanita Village - Santa Catalina
Santa Catalina,Manzanita Village,FB250,11-Feb-19,Ostracod,Cyprididae,NA,NA,"bean, white",Manzanita Village - Santa Catalina
14,North Parcel,FB250,11-Feb-19,Ostracod,Cyprididae,NA,NA,"triangle, green",North Parcel - 14
14,North Parcel,FB250,11-Feb-19,Ostracod,Cyprididae,NA,NA,"bean, white",North Parcel - 14
14,North Parcel,FB250,11-Feb-19,Ostracod,Cyprididae,NA,NA,"long, white",North Parcel - 14
14,North Parcel,FB250,11-Feb-19,Ostracod,Cyprididae,NA,NA,"bean, white",North Parcel - 14
14,North Parcel,FB250,11-Feb-19,Ostracod,Cyprididae,NA,NA,"isosceles, green",North Parcel - 14
Main,More Mesa,FB250,7-Mar-19,Ostracod,NA,NA,NA,"bean, brown",More Mesa - Main
Main,More Mesa,FB250,7-Mar-19,Ostracod,NA,NA,NA,"bean, white",More Mesa - Main
Main,More Mesa,FB250,7-Mar-19,Ostracod,NA,NA,NA,"bean, beige",More Mesa - Main
Main,More Mesa,FB250,7-Mar-19,Ostracod,NA,NA,NA,"triangle, white",More Mesa - Main
North Campus Open Space - 1,NA,FB250,13-Mar-19,Ostracod,Cyprididae,NA,NA,"bean, white",North Campus Open Space - 1
North Campus Open Space - 1,NA,FB250,13-Mar-19,Ostracod,Cyprididae,NA,NA,"bean, light green",North Campus Open Space - 1
North Campus Open Space - 1,NA,FB250,13-Mar-19,Ostracod,NA,NA,NA,"bean, white",North Campus Open Space - 1
North Campus Open Space - 1,NA,FB250,13-Mar-19,Ostracod,NA,NA,NA,"triangle, green",North Campus Open Space - 1
North Campus Open Space - 1,NA,FB250,13-Mar-19,Ostracod,NA,NA,NA,"bean, green",North Campus Open Space - 1
