objectid,location,pool_id,notes,gps_date,gps_time,acres,global_id,shape_area,shape_length,area,location_pool_id
45,Del Sol/Camino Corto,M,NA,2/28/19 8:00,11:47:44,0.018285964,30c56138-85ce-4a90-bbbb-caaef672eeac,796.5341797,104.8718285,74.00051837,Del Sol/Camino Corto - M
46,Del Sol/Camino Corto,G,NA,2/28/19 8:00,11:50:53,0.104009443,6b6ec71c-f0b4-4880-be6e-1adca79f62c0,4530.633789,291.0841011,420.9100595,Del Sol/Camino Corto - G
47,Del Sol/Camino Corto,T,NA,2/28/19 8:00,11:54:06,0.039242837,906ba011-3d09-446e-9d6d-af206e6b04b9,1709.413086,155.7218322,158.809826,Del Sol/Camino Corto - T
48,Del Sol/Camino Corto,U,NA,2/28/19 8:00,11:56:11,0.109903776,cf72e8a8-72a6-4784-b569-0d83c089cd53,4787.397461,388.9054717,444.7642082,Del Sol/Camino Corto - U
49,Del Sol/Camino Corto,6,NA,2/28/19 8:00,11:59:11,0.208029542,84b591e6-ba45-4861-8cd7-edd0c0bb7d9a,9061.737305,355.388478,841.863758,Del Sol/Camino Corto - 6
50,Del Sol/Camino Corto,2,NA,2/28/19 8:00,12:02:36,0.142889416,93a82008-94f7-4428-8a80-a345c65a209c,6224.241211,491.754225,578.2514898,Del Sol/Camino Corto - 2
51,Del Sol/Camino Corto,4,NA,2/28/19 8:00,12:06:59,0.053332002,17844aba-ad85-4c96-b739-7a1e727c7c00,2323.126953,191.0460226,215.8257651,Del Sol/Camino Corto - 4
52,Del Sol/Camino Corto,5,NA,2/28/19 8:00,12:09:14,0.05066783,b19d5dd4-826c-4ebc-84fe-10f33f3a7755,2207.086914,170.6698622,205.0452823,Del Sol/Camino Corto - 5
53,Del Sol/Camino Corto,8,NA,2/28/19 8:00,12:12:22,0.028537554,2fc2f4e6-85bd-4a57-8726-95b90b395537,1243.092773,141.9910449,115.4872094,Del Sol/Camino Corto - 8
54,Del Sol/Camino Corto,3,NA,2/28/19 8:00,12:14:35,0.069925949,e809f51b-c2da-4c83-b3c0-7bbdeadb42f2,3045.96875,245.1186367,282.9800305,Del Sol/Camino Corto - 3
55,Del Sol/Camino Corto,7,NA,2/28/19 8:00,12:17:33,0.320506495,b499c4c5-0236-427a-902a-ab49d4cf0a37,13961.21777,480.1164988,1297.040828,Del Sol/Camino Corto - 7
56,Del Sol/Camino Corto,L,NA,2/28/19 8:00,12:26:48,0.014304942,1ed8e0eb-3ffe-4ca7-87bd-da593efed36d,623.1220703,94.03825178,57.88999065,Del Sol/Camino Corto - L
57,Del Sol/Camino Corto,J,NA,2/28/19 8:00,12:27:32,0.012673708,2355560b-5295-4ed2-b58e-07b3bab76b7e,552.0664063,87.63272785,51.28869706,Del Sol/Camino Corto - J
58,Del Sol/Camino Corto,I,NA,2/28/19 8:00,12:28:15,0.009086443,c79d85bb-881b-43c7-ac5e-49f9cdb07257,395.8046875,71.86917593,36.7714943,Del Sol/Camino Corto - I
59,Del Sol/Camino Corto,K,NA,2/28/19 8:00,12:29:01,0.013631239,0b012332-6f7a-46da-bb82-86f78575ceb3,593.7773438,94.6046967,55.1637737,Del Sol/Camino Corto - K
