date,location_pool_id,water_year,water_level_in
2019-03-07,Del Sol/Camino Corto - M,2019,13.75
2019-03-07,Del Sol/Camino Corto - H,2019,15.5
2019-03-07,Del Sol/Camino Corto - S,2019,12.5
2019-03-07,Del Sol/Camino Corto - F,2019,13.5
2019-03-07,Del Sol/Camino Corto - E,2019,15.5
2019-03-07,Del Sol/Camino Corto - W,2019,18
2019-03-07,Del Sol/Camino Corto - T,2019,5.5
2019-03-07,Del Sol/Camino Corto - U,2019,10.75
2019-03-07,Del Sol/Camino Corto - V,2019,13
2019-03-07,Del Sol/Camino Corto - N,2019,14
2019-03-08,Storke Ranch - Main,2019,18
2019-03-08,Storke Ranch - Main,2019,18
2019-03-08,Storke Ranch - East,2019,7.75
2019-03-08,Storke Ranch - 2018,2019,13
2019-03-08,Storke Ranch - South,2019,13
2019-03-08,Storke Ranch - North,2019,13
2019-03-08,Storke Ranch - 2007,2019,12
2019-03-04,North Parcel - Ph1,2019,16
2019-03-04,North Parcel - 19,2019,14
2019-03-04,North Parcel - 16,2019,17
2019-03-04,North Parcel - 14,2019,15
2019-03-04,North Parcel - 3,2019,13
2019-03-04,North Parcel - 4,2019,9
2019-03-04,North Parcel - 9,2019,15.5
2019-03-04,North Parcel - 7,2019,18
2019-03-04,North Parcel - 6,2019,14
2019-03-08,North Campus Open Space - 8,2019,14
2019-03-08,North Campus Open Space - 7,2019,16.5
2019-03-08,North Campus Open Space - 6,2019,17
2019-03-08,North Campus Open Space - 5,2019,16.5
2019-03-08,North Campus Open Space - 4,2019,17
2019-03-08,North Campus Open Space - 3,2019,18
2019-03-08,North Campus Open Space - 2,2019,18.5
2019-03-08,North Campus Open Space - 1,2019,19
2019-03-08,South Parcel - 7,2019,14.5
2019-03-08,South Parcel - 8,2019,14.5
2019-03-08,South Parcel - 9,2019,9
2019-03-08,South Parcel - 6,2019,11
2019-03-08,South Parcel - 5,2019,19.5
2019-03-08,South Parcel - 4,2019,11
2019-03-08,South Parcel - 1,2019,9.5
2019-03-08,South Parcel - 2,2019,12
2019-03-08,South Parcel - 3,2019,14.25
2019-03-08,South Parcel - SWW 1,2019,13.5
2019-03-13,West Campus - 11,2019,6.25
2019-03-13,West Campus - 7,2019,0
2019-03-13,West Campus - 6,2019,11.75
2019-03-13,West Campus - 13,2019,4.25
2019-03-13,West Campus - 8,2019,4
2019-03-13,West Campus - 9,2019,6.875
2019-03-13,West Campus - 10,2019,6.25
2019-03-12,North Parcel - PH1,2019,14.5
2019-03-12,North Parcel - 19,2019,13
2019-03-12,North Parcel - 14,2019,13.5
2019-03-12,North Parcel - 16,2019,17
2019-03-12,North Parcel - 4,2019,8
2019-03-12,North Parcel - 3,2019,12.5
2019-03-12,North Parcel - 9,2019,14
2019-03-12,North Parcel - 6,2019,13
2019-03-12,North Parcel - 7,2019,18
