objectid,location,pool_id,notes,gps_date,gps_time,acres,global_id,shape_area,shape_length,area
51,delsol_caminocorto,4,NA,2/28/19 8:00,12:06:59,0.053332002,17844aba-ad85-4c96-b739-7a1e727c7c00,2323.126953,191.0460226,215.8257651
52,delsol_caminocorto,5,NA,2/28/19 8:00,12:09:14,0.05066783,b19d5dd4-826c-4ebc-84fe-10f33f3a7755,2207.086914,170.6698622,205.0452823
53,delsol_caminocorto,8,NA,2/28/19 8:00,12:12:22,0.028537554,2fc2f4e6-85bd-4a57-8726-95b90b395537,1243.092773,141.9910449,115.4872094
54,delsol_caminocorto,3,NA,2/28/19 8:00,12:14:35,0.069925949,e809f51b-c2da-4c83-b3c0-7bbdeadb42f2,3045.96875,245.1186367,282.9800305
55,delsol_caminocorto,7,NA,2/28/19 8:00,12:17:33,0.320506495,b499c4c5-0236-427a-902a-ab49d4cf0a37,13961.21777,480.1164988,1297.040828
56,delsol_caminocorto,L,NA,2/28/19 8:00,12:26:48,0.014304942,1ed8e0eb-3ffe-4ca7-87bd-da593efed36d,623.1220703,94.03825178,57.88999065
57,delsol_caminocorto,J,NA,2/28/19 8:00,12:27:32,0.012673708,2355560b-5295-4ed2-b58e-07b3bab76b7e,552.0664063,87.63272785,51.28869706
58,delsol_caminocorto,I,NA,2/28/19 8:00,12:28:15,0.009086443,c79d85bb-881b-43c7-ac5e-49f9cdb07257,395.8046875,71.86917593,36.7714943
59,delsol_caminocorto,K,NA,2/28/19 8:00,12:29:01,0.013631239,0b012332-6f7a-46da-bb82-86f78575ceb3,593.7773438,94.6046967,55.1637737
60,ellwood_mesa,Created pool by trees,NA,2/7/19 8:00,11:49:19,0.044690556,74829108-59b6-435f-88ac-91f045531ccb,1946.714844,161.1047574,180.855902
61,ellwood_mesa,1,NA,2/7/19 8:00,10:09:27,0.116903561,17ef34ad-4e10-4ba2-9fbd-c7fb0db60b77,5092.305664,391.0022331,473.0911346
62,ellwood_mesa,2,NA,2/7/19 8:00,10:31:04,0.045851735,dfdc395c-0742-4728-a45d-c9456bf028f6,1997.292969,202.3789613,185.5547681
